ppl   AUC 0.2960, Accuracy 0.5000, TPR@0.1%FPR of 0.0196
ppl/Ref_ppl (calibrate PPL to the reference model)   AUC 0.4908, Accuracy 0.5538, TPR@0.1%FPR of 0.0980
ppl/lowercase_ppl   AUC 0.3435, Accuracy 0.5006, TPR@0.1%FPR of 0.0000
ppl/zlib   AUC 0.2707, Accuracy 0.5000, TPR@0.1%FPR of 0.0196
Min_5.0% Prob   AUC 0.7040, Accuracy 0.7062, TPR@0.1%FPR of 0.0588
Min_10.0% Prob   AUC 0.6996, Accuracy 0.6894, TPR@0.1%FPR of 0.0588
Min_20.0% Prob   AUC 0.6970, Accuracy 0.6980, TPR@0.1%FPR of 0.0588
Min_30.0% Prob   AUC 0.7071, Accuracy 0.7204, TPR@0.1%FPR of 0.0980
Min_40.0% Prob   AUC 0.7078, Accuracy 0.7239, TPR@0.1%FPR of 0.1176
Min_50.0% Prob   AUC 0.7065, Accuracy 0.7078, TPR@0.1%FPR of 0.1176
Min_60.0% Prob   AUC 0.7040, Accuracy 0.7078, TPR@0.1%FPR of 0.0980
